76;AVENUE EDOUARD VAILLANT;AVENUE EDOUARD VAILLANT;3130M;I;1;0;9;0;29;1;N
77;AVENUE EDOUARD VAILLANT;AVENUE EDOUARD VAILLANT;3130M;I;11;0;35;0;28;1;N
78;AVENUE EDOUARD VAILLANT;AVENUE EDOUARD VAILLANT;3130M;P;2;0;10;0;29;1;N
79;AVENUE EDOUARD VAILLANT;AVENUE EDOUARD VAILLANT;3130M;P;12;0;40;0;28;1;N
80;AVENUE EMMANUEL KANT;AVENUE EMMANUEL KANT;3160V;;1;0;12;0;30;1;N
81;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;3575W;I;1;0;17;0;1;1;N
82;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;3575W;I;19;0;77;0;23;1;N
83;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;3575W;P;2;0;40;0;1;1;N
84;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;3575W;P;42;0;58;0;21;1;N
85;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;3575W;P;60;0;76;0;22;1;N
86;AVENUE GABRIEL PERI;AVENUE GABRIEL PERI;4100S;;2;0;8;0;1;1;N
87;AVENUE GEORGES POMPIDOU;AVENUE GEORGES POMPIDOU;4165M;;1;0;43;0;16;1;N
88;AVENUE GUSTAVE STRESEMANN;AVENUE GUSTAVE STRESEMANN;4190P;;1;0;8;0;31;1;N
89;AVENUE JEAN JAURES;AVENUE JEAN JAURES;4735G;I;1;0;25;0;29;1;N
90;AVENUE JEAN JAURES;AVENUE JEAN JAURES;4735G;I;27;0;35;0;28;1;N
91;AVENUE JEAN JAURES;AVENUE JEAN JAURES;4735G;I;37;0;55;0;32;1;N
92;AVENUE JEAN JAURES;AVENUE JEAN JAURES;4735G;P;2;0;26;8;29;1;N
93;AVENUE JEAN JAURES;AVENUE JEAN JAURES;4735G;P;28;0;76;0;28;1;N
94;AVENUE JUSTIN GODART;AVENUE JUSTIN GODART;SU36E;;1;0;8;0;16;1;N
95;AVENUE LEON BOURGEOIS;AVENUE LEON BOURGEOIS;5130L;;1;0;11;0;31;1;N
96;AVENUE SISLEY;AVENUE SISLEY;SU34E;;1;0;21;0;17;1;N
97;BD. MARECHAL DE LATTRE DE TASSIGNY;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;6110B;I;1;0;27;0;27;1;N
98;BD. MARECHAL DE LATTRE DE TASSIGNY;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;6110B;I;29;0;47;0;26;1;N
