id;address;new_address;match
327;RUE DU POINT-HAUT;;False
328;RUE DU PORT AUX VINS;RUE DU PORT AUX VINS;True
329;RUE DU PROF. LOUIS-RENE NOUGIER;;False
330;RUE DU RATRAIT;RUE DU RATRAIT;True
331;RUE DU RATRAIT;RUE DU RATRAIT;True
332;RUE DU RATRAIT;RUE DU RATRAIT;True
333;RUE DU RATRAIT;RUE DU RATRAIT;True
334;RUE DU SYNDICAT DES CULTIVATEURS;;False
335;RUE DU SYNDICAT DES CULTIVATEURS;;False
336;RUE DU SYNDICAT DES CULTIVATEURS;;False
337;RUE DU SYNDICAT DES CULTIVATEURS;;False
338;RUE DU TERTRE;RUE DU TERTRE;True
339;RUE DU VAL D'OR;RUE DU VAL D'OR;True
340;RUE DU VAL D'OR;RUE DU VAL D'OR;True
341;RUE DU VAL D'OR;RUE DU VAL D'OR;True
342;RUE DU VAL D'OR;RUE DU VAL D'OR;True
344;RUE EDOUARD NIEUPORT;RUE EDOUARD NIEUPORT;True
345;RUE EMILE DUCLAUX;RUE EMILE DUCLAUX;True
346;RUE EMILE ZOLA;RUE EMILE ZOLA;True
347;RUE EMILIEN COLLIN;;False
348;RUE ETIENNE DOLET;RUE ETIENNE DOLET;True
349;RUE FERNAND FOREST;RUE FERNAND FOREST;True
350;RUE FERNAND FOREST;RUE FERNAND FOREST;True
351;RUE FIZEAU;RUE FIZEAU;True
352;RUE FLORENT DANCOURT;RUE FLORENT DANCOURT;True
353;RUE FRANCOIS BOUGAULT;RUE FRANCOIS BOUGAULT;True
354;RUE FREDERIC CLAVEL;RUE FREDERIC CLAVEL;True
355;RUE FREDERIC CLAVEL;RUE FREDERIC CLAVEL;True
356;RUE FREDERIC CLAVEL;RUE FREDERIC CLAVEL;True
357;RUE FREDERIC CLAVEL;RUE FREDERIC CLAVEL;True
358;RUE FREDERIC PASSY;;False
359;RUE GABRIEL PHILIPPE;RUE GABRIEL PHILIPPE;True
360;RUE GABRIEL PHILIPPE;RUE GABRIEL PHILIPPE;True
361;RUE GAMBETTA;RUE GAMBETTA;True
362;RUE GAMBETTA;RUE GAMBETTA;True
363;RUE GAMBETTA;RUE GAMBETTA;True
364;RUE GAMBETTA;RUE GAMBETTA;True
365;RUE GAMBETTA;RUE GAMBETTA;True
366;RUE GAMBETTA;RUE GAMBETTA;True
367;RUE GARDENAT LAPOSTOL;RUE GARDENAT LAPOSTOL;True
368;RUE GARDENAT LAPOSTOL;RUE GARDENAT LAPOSTOL;True
369;RUE GARDENAT LAPOSTOL;RUE GARDENAT LAPOSTOL;True
370;RUE GARDENAT LAPOSTOL;RUE GARDENAT LAPOSTOL;True
371;RUE GARDENAT LAPOSTOL;RUE GARDENAT LAPOSTOL;True
372;RUE GARDENAT LAPOSTOL;RUE GARDENAT LAPOSTOL;True
373;RUE GARIBALDI;RUE GARIBALDI;True
374;RUE GEORGES APPAY;RUE GEORGES APPAY;True
375;RUE GROTIUS;RUE GROTIUS;True
376;RUE GUILLAUME LENOIR;RUE GUILLAUME LENOIR;True
